ticker,company_name,yahoo_symbol,active
BPFI,PT Woori Finance Indonesia Tbk,BPFI.JK,1
BPII,PT Batavia Prosperindo Internasional Tbk,BPII.JK,1
BPTR,PT Batavia Prosperindo Trans Tbk,BPTR.JK,1
BRAM,PT Indo Kordsa Tbk,BRAM.JK,1
BREN,PT Barito Renewables Energy Tbk,BREN.JK,1
BRIS,PT Bank Syariah Indonesia Tbk,BRIS.JK,1
BRMS,PT Bumi Resources Minerals Tbk,BRMS.JK,1
BRNA,PT Berlina Tbk,BRNA.JK,1
BRPT,PT Barito Pacific Tbk,BRPT.JK,1
BRRC,PT Raja Roti Cemerlang Tbk,BRRC.JK,1
BSBK,PT Wulandari Bangun Laksana Tbk,BSBK.JK,1
BSDE,PT Bumi Serpong Damai Tbk,BSDE.JK,1
BSIM,PT Bank Sinarmas Tbk,BSIM.JK,1
BSML,PT Bintang Samudera Mandiri Lines Tbk,BSML.JK,1
BSSR,PT Baramulti Suksessarana Tbk,BSSR.JK,1
BSWD,PT Bank of India Indonesia Tbk,BSWD.JK,1
BTEK,PT Bumi Teknokultura Unggul Tbk,BTEK.JK,1
BTON,PT Betonjaya Manunggal Tbk,BTON.JK,1
BTPN,PT Bank SMBC Indonesia Tbk,BTPN.JK,1
BTPS,PT Bank BTPN Syariah Tbk,BTPS.JK,1
BUAH,PT Segar Kumala Indonesia Tbk,BUAH.JK,1
BUDI,PT Budi Starch & Sweetener Tbk,BUDI.JK,1
BUKA,PT Bukalapak.com Tbk.,BUKA.JK,1
BUKK,PT Bukaka Teknik Utama Tbk.,BUKK.JK,1
BULL,PT Buana Lintas Lautan Tbk,BULL.JK,1
BUMI,PT Bumi Resources Tbk,BUMI.JK,1
BUVA,PT Bukit Uluwatu Villa Tbk,BUVA.JK,1
BVIC,PT Bank Victoria International Tbk,BVIC.JK,1
BWPT,PT Eagle High Plantations Tbk,BWPT.JK,1
BYAN,PT Bayan Resources Tbk.,BYAN.JK,1
CAKK,PT Cahayaputra Asa Keramik Tbk,CAKK.JK,1
CAMP,"PT Campina Ice Cream Industry, Tbk.",CAMP.JK,1
CANI,PT Capitol Nusantara Indonesia Tbk,CANI.JK,1
CARE,PT Metro Healthcare Indonesia Tbk,CARE.JK,1
CARS,PT Industri dan Perdagangan Bintraco Dharma Tbk,CARS.JK,1
CASA,PT Capital Financial Indonesia Tbk,CASA.JK,1
CASH,PT Cashlez Worldwide Indonesia Tbk,CASH.JK,1
CASS,PT Cahaya Aero Services Tbk,CASS.JK,1
CBDK,PT Bangun Kosambi Sukses Tbk,CBDK.JK,1
CBPE,PT Citra Buana Prasida Tbk,CBPE.JK,1
CBRE,PT Cakra Buana Resources Energi Tbk,CBRE.JK,1
CBUT,PT Citra Borneo Utama Tbk,CBUT.JK,1
CCSI,PT Communication Cable Systems Indonesia Tbk,CCSI.JK,1
CDIA,PT Chandra Daya Investasi TBK.,CDIA.JK,1
CEKA,PT Wilmar Cahaya Indonesia Tbk.,CEKA.JK,1
CENT,PT Centratama Telekomunikasi Indonesia Tbk,CENT.JK,1
CFIN,PT. Clipan Finance Indonesia Tbk,CFIN.JK,1
CGAS,PT Citra Nusantara Gemilang Tbk,CGAS.JK,1
CHEK,PT Diastika Biotekindo Tbk,CHEK.JK,1
CHEM,PT Chemstar Indonesia Tbk,CHEM.JK,1
CHIP,PT Pelita Teknologi Global Tbk,CHIP.JK,1
CINT,PT Chitose Internasional Tbk,CINT.JK,1
CITA,PT Cita Mineral Investindo Tbk,CITA.JK,1
CITY,PT Natura City Developments Tbk,CITY.JK,1
CLAY,PT Citra Putra Realty Tbk,CLAY.JK,1
CLEO,PT Sariguna Primatirta Tbk,CLEO.JK,1
CLPI,PT Colorpak Indonesia Tbk,CLPI.JK,1
CMNP,PT Citra Marga Nusaphala Persada Tbk,CMNP.JK,1
CMNT,PT Cemindo Gemilang Tbk,CMNT.JK,1
CMPP,PT AirAsia Indonesia Tbk,CMPP.JK,1
CMRY,PT Cisarua Mountain Dairy Tbk,CMRY.JK,1
CNKO,PT Exploitasi Energi Indonesia Tbk,CNKO.JK,1
CNMA,PT Nusantara Sejahtera Raya Tbk,CNMA.JK,1
COAL,PT Black Diamond Resources Tbk,COAL.JK,1
COCO,PT Wahana Interfood Nusantara Tbk,COCO.JK,1
COIN,PT Indokripto Koin Semesta Tbk,COIN.JK,1
CPIN,PT Charoen Pokphand Indonesia Tbk,CPIN.JK,1
CPRO,PT Central Proteina Prima Tbk,CPRO.JK,1
CRAB,PT Toba Surimi Industries Tbk,CRAB.JK,1
CRSN,PT Carsurin Tbk,CRSN.JK,1
CSAP,PT Catur Sentosa Adiprana Tbk,CSAP.JK,1
CSIS,PT Cahayasakti Investindo Sukses Tbk,CSIS.JK,1
CSMI,PT Cipta Selera Murni Tbk,CSMI.JK,1
CSRA,PT Cisadane Sawit Raya Tbk,CSRA.JK,1
CTBN,PT Citra Tubindo Tbk,CTBN.JK,1
CTRA,PT Ciputra Development Tbk,CTRA.JK,1
CTTH,PT Citatah Tbk,CTTH.JK,1
CUAN,PT Petrindo Jaya Kreasi Tbk,CUAN.JK,1
CYBR,PT ITSEC Asia Tbk,CYBR.JK,1
DAAZ,PT Daaz Bara Lestari Tbk,DAAZ.JK,1
DADA,PT Diamond Citra Propertindo Tbk,DADA.JK,1
DART,PT Duta Anggada Realty Tbk.,DART.JK,1
